"data";"valor"
"01/09/2019";"47,19"
"01/10/2019";"47,50"
"01/11/2019";"46,72"
"01/12/2019";"45,95"
"01/01/2020";"46,43"
"01/02/2020";"45,82"
"01/03/2020";"45,87"
"01/04/2020";"46,29"
"01/05/2020";"45,30"
"01/06/2020";"44,14"
"01/07/2020";"45,14"
"01/08/2020";"44,55"
"01/09/2020";"43,67"
"01/10/2020";"42,98"
"01/11/2020";"41,77"
"01/12/2020";"40,72"
"01/01/2021";"40,99"
"01/02/2021";"40,78"
"01/03/2021";"41,00"
"01/04/2021";"43,01"
"01/05/2021";"43,05"
"01/06/2021";"42,43"
"01/07/2021";"42,85"
"01/08/2021";"42,35"
"01/09/2021";"43,56"
"01/10/2021";"45,18"
"01/11/2021";"44,64"
"01/12/2021";"43,80"
"01/01/2022";"44,54"
"01/02/2022";"44,32"
"01/03/2022";"45,85"
"01/04/2022";"46,18"
"01/05/2022";"45,60"
"01/06/2022";"44,71"
"01/07/2022";"44,88"
"01/08/2022";"45,77"
"01/09/2022";"46,49"
"01/10/2022";"46,63"
"01/11/2022";"46,09"
"01/12/2022";"45,17"
"01/01/2023";"46,77"
"01/02/2023";"46,12"
"01/03/2023";"46,99"
"01/04/2023";"46,29"
